Sex,LGA,Community,How old were you at your last birthday?,What religion do you practice?,Ethnic group:,"What is your marital status?	",What is the type of your family?,Employment status: ,What is your highest qualification obtained?,Are you aware of human trafficking before? ,"Are you aware that there is a law against the recruitment, transportation, habouring of persons for the purpose of exploiting them?",Are you aware of any girl in this community who left/ or followed another person to other locations but ended up being deceived to do sex work or other unwanted work? ,Where do you think that she was taken to?,Do you know of anyone in your community who travelled like that and was returned and now needs help to have a good means of livelihood?,Have you heard before of any campaign on issues concerning anti-trafficking?,"What media sources do you access information on issues of interest to you, such as anti-trafficking campaigns?",16. Have you heard about organizations where you can go and obtain services regarding anti-trafficking? ,Have you heard of an Agency called NAPTIP? ,Do you know of the function that the Agency performs?,Why do you think that young men and young women in this community travel abroad?
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Polygamous,Student,Tertiary Education,Yes,Yes,No,Outside the Country,Yes,Yes,Television;Social Media,Yes,Yes,Yes,Poverty
Female,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Unemployed,Secondary Education,Don't Know,Note Sure,No,Don't Know,No,No,Others,No,Not sure,Not Sure,They need to take care of their needs which means money
Male,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Polygamous,Employed,Primary Education,Yes,Yes,No,Outside the Country,No,Yes,Radio,No,No,No,"Because of hardship in Nigeria, No father and Mother"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Note Sure,Yes,Outside the Country,Yes,Yes,Radio,Yes,No,No,Because of money
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Social Media,Yes,Yes,No,Because of money
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,No,Television,No,No,No,To make money and to have livelihood
Male,Ovia North East,Oluku,18-24,Christianity,Others,Single,Polygamous,School drop out,Primary Education,Yes,Yes,No,Outside the Country,No,Yes,Television,No,No,No,For money
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Student,No Formal Education,Yes,Yes,No,Outside the Country,No,Yes,Television,Yes,Yes,Yes,For good life and bad economy
Male,Ovia North East,Oluku,31 and Above,Islam,Hausa,Married,Polygamous,Student,No Formal Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,No,No,No,For money
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Primary Education,Yes,Yes,Yes,Outside the Country,No,No,Television;Radio;Social Media,No,No,No,For good work
Male,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Student,Primary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,Yes,Yes,For greener pastures
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Polygamous,Unemployed,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Social Media,Yes,Yes,Yes,To search for greener pastures and To gain societal respect
Female,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Television,No,No,No,To live a better life and to go and make money
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,Yes,Yes,"To make more money
Education"
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,No,Yes,Yes,For greener pastures
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Note Sure,No,Outside the Country,No,No,Social Media,No,No,Not Sure,"To get a better life
To get a better income to assist the family"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Primary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,Yes,Yes,To make more money
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Polygamous,Self Employed/Business owner,Primary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,No,Yes,Yes,"For money
To live a good life"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio,Yes,Yes,Yes,For the purpose of making money
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Newspaper;Television,No,Yes,Yes,For work
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,No,Yes,Yes,"For a good livelihood
To make money"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Monogamous,Employed,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio;Social Media,Yes,Yes,Yes,For greener pastures
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,Yes,Yes,Yes,"For a better life
For education"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Primary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,Yes,Yes,Yes,For money and good life
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio;Social Media,Yes,Yes,Yes,"For money
To Elevate poverty"
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Television;Radio,No,Yes,Yes,"For education
For money"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,Yes,Yes,Yes,For rge purpose of making to money
Female,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television;Radio;Social Media,No,Yes,Yes,For greener pastures
Male,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,Yes,Yes,"For immigration
For greener pastures"
Female,Ovia North East,Oluku,25-30,Christianity,Others,Single,Monogamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,Yes,Yes,Yes,"For money
For education"
Male,Ovia North East,Oluku,25-30,Christianity,Others,Single,Polygamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,No,Television;Radio,Yes,Yes,Yes,For greener pastures
Female,Ovia North East,Oluku,25-30,Christianity,Others,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,No,No,"For money
For education"
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Newspaper;Radio,Yes,Yes,Yes,"For work
For money"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Polygamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,Yes,Yes,For better life
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Employed,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,Yes,Yes,For greener pastures
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,Yes,Yes,Yes,"For a better life
For money"
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,Yes,Yes,Yes,For greener pastures 
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television,Yes,Yes,Yes,For the purpose of making money
Male,Ovia North East,Oluku,31 and Above,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television,Yes,Yes,Yes,"For education
For money"
Female,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,Yes,Yes,Yes,"For money
Because of the nations bad economy"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,Yes,Yes,For future purpose
Male,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,"For money
For a better life"
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,No,Television,No,No,No,"No money
For a better life"
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Single,Monogamous,Employed,Secondary Education,Yes,Yes,Yes,Outside the Country,No,Yes,Television;Radio,Yes,Yes,Yes,"To earn a living
For greener pastures"
Female,Ovia North East,Oluku,31 and Above,Christianity,Edo,Divorced/Separated/Widowed,Polygamous,Unemployed,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,No,No,"Money
Bad economy"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television;Radio,No,No,No,"Money
Drugs"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,Yes,No,"To make money
For good life"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Television;Radio,No,No,No,Poverty
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Television,No,Yes,No,Poverty
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Newspaper;Radio;Face to Face,Yes,No,No,"Poverty
Ignorance"
Female,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,No,Television,No,No,No,For greener pastures
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Single,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,No,No,For a better life
Male,Ovia North East,Oluku,18-24,Christianity,Edo,Single,Monogamous,Student,Secondary Education,Yes,Yes,No,Don't Know,Yes,Yes,Social Media,No,Yes,Yes,"For greener pastures
For financial purpose"
Male,Ovia North East,Oluku,31 and Above,Christianity,Others,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,Yes,Yes,Because of their poor background
Female,Ovia North East,Oluku,25-30,Christianity,Edo,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,Yes,Yes,"Money
To achieve a better life"
Male,Ovia North East,Oluku,18-24,Christianity,Others,Single,Monogamous,Employed,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Radio,Yes,Yes,Not Sure,Money
Male,Ovia North East,Oluku,31 and Above,Christianity,Yoruba,Married,Monogamous,Self Employed/Business owner,Secondary Education,Yes,Yes,No,Don't Know,No,Yes,Television,No,No,No,"For education purposes
For work purposes"
Female,Ovia North East,Oluku,18-24,Traditional religion,Edo,Single,Monogamous,School drop out,Secondary Education,No,Note Sure,No,Don't Know,No,No,Television;Radio,No,No,No,Poverty
Male,Ovia North East,Oluku,25-30,Christianity,Yoruba,Single,Monogamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,No,Don't Know,No,Yes,Social Media,No,Not sure,No,Unemployment
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Monogamous,Employed,Tertiary Education,Yes,Yes,Don't Know,Don't Know,No,Yes,Social Media,Yes,No,No,"To make a better living for themselves and their family
To elevate themselves and their family from poverty"
Male,Ovia North East,Oluku,31 and Above,Christianity,Yoruba,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Don't Know,Don't Know,No,No,Television;Social Media,No,No,No,"Our economy is bad
Bad leadership"
Male,Ovia North East,Oluku,31 and Above,Christianity,Edo,Married,Polygamous,Self Employed/Business owner,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television;Radio,No,Yes,Yes,"For source of money
For good living"
Female,Ovia North East,Oluku,18-24,Christianity,Others,Single,Polygamous,Unemployed,Secondary Education,Yes,Yes,Yes,Outside the Country,No,No,Radio,No,No,No,"Money
For good life"
Female,Ovia North East,Oluku,18-24,Christianity,Yoruba,Single,Polygamous,Employed,Tertiary Education,Yes,Yes,Yes,Outside the Country,Yes,Yes,Television,No,No,No,"Money
Change of environment"
